"com","BonNomDeVille","DeLaVille","ALaVille"
"01001","L'Abergement-Clémenciat","de l'Abergement-Clémenciat","à l'Abergement-Clémenciat"
"01002","L'Abergement-de-Varey","de l'Abergement-de-Varey","à l'Abergement-de-Varey"
"01004","Ambérieu-en-Bugey","d'Ambérieu-en-Bugey","à Ambérieu-en-Bugey"
"01005","Ambérieux-en-Dombes","d'Ambérieux-en-Dombes","à Ambérieux-en-Dombes"
"01006","Ambléon","d'Ambléon","à Ambléon"
"01007","Ambronay","d'Ambronay","à Ambronay"
"01008","Ambutrix","d'Ambutrix","à Ambutrix"
"01009","Andert-et-Condon","d'Andert-et-Condon","à Andert-et-Condon"
"01010","Anglefort","d'Anglefort","à Anglefort"
"01011","Apremont","d'Apremont","à Apremont"
"01012","Aranc","d'Aranc","à Aranc"
"01013","Arandas","d'Arandas","à Arandas"
"01014","Arbent","d'Arbent","à Arbent"
"01015","Arboys en Bugey","d'Arboys en Bugey","à Arboys en Bugey"
"01015","Arbignieu","d'Arbignieu","à Arbignieu"
"01016","Arbigny","d'Arbigny","à Arbigny"
"01017","Argis","d'Argis","à Argis"
"01019","Armix","d'Armix","à Armix"
"01021","Ars-sur-Formans","d'Ars-sur-Formans","à Ars-sur-Formans"
"01022","Artemare","d'Artemare","à Artemare"
"01023","Asnières-sur-Saône","d'Asnières-sur-Saône","à Asnières-sur-Saône"
"01024","Attignat","d'Attignat","à Attignat"
"01025","Bâgé-Dommartin","de Bâgé-Dommartin","à Bâgé-Dommartin"
"01025","Bâgé-la-Ville","de Bâgé-la-Ville","à Bâgé-la-Ville"
"01026","Bâgé-le-Châtel","de Bâgé-le-Châtel","à Bâgé-le-Châtel"
"01027","Balan","de Balan","à Balan"
"01028","Baneins","de Baneins","à Baneins"
"01029","Beaupont","de Beaupont","à Beaupont"
"01030","Beauregard","de Beauregard","à Beauregard"
"01031","Bellignat","de Bellignat","à Bellignat"
"01032","Béligneux","de Béligneux","à Béligneux"
"01033","Valserhône","de Valserhône","à Valserhône"
"01033","Bellegarde-sur-Valserine","de Bellegarde-sur-Valserine","à Bellegarde-sur-Valserine"
"01034","Belley","de Belley","à Belley"
"01035","Belleydoux","de Belleydoux","à Belleydoux"
"01036","Valromey-sur-Séran","de Valromey-sur-Séran","à Valromey-sur-Séran"
"01036","Belmont-Luthézieu","de Belmont-Luthézieu","à Belmont-Luthézieu"
"01037","Bénonces","de Bénonces","à Bénonces"
"01038","Bény","de Bény","à Bény"
"01039","Béon","de Béon","à Béon"
"01040","Béréziat","de Béréziat","à Béréziat"
